idx,ou,raw_lightgbc_prediction,raw_lightgbc_confidence,raw_knn_prediction,raw_knn_confidence,raw_log_prediction,raw_log_confidence,+pts_linsvc_prediction,+pts_linsvc_confidence,+pts_lightgbc_prediction,+pts_lightgbc_confidence,+pts_log_prediction,+pts_log_confidence
2017-11-10Alabama,1,0,0.5013323969515269,1,0.5795454545454546,0,0.5138664235348335,1,0.5,0,0.510999176308258,1,0.8474430591153612
2017-11-10Arizona,1,0,0.530562950499563,0,0.5681818181818182,1,0.5012120825498008,1,0.5,0,0.5136644520854017,0,0.5416065588039864
2017-11-10Arizona_St,1,0,0.5184562392737131,1,0.5568181818181818,1,0.5054051788011493,1,0.5,1,0.5124287224224977,0,0.5079879981581505
2017-11-10Ark_Pine_Bl,1,0,0.5329442858834059,1,0.5340909090909091,0,0.516030911899982,1,0.5,0,0.5153711807443955,1,0.7119256413564613
2017-11-10Arkansas,0,0,0.5282185329234911,1,0.5340909090909091,0,0.5075661462899084,1,0.5,1,0.507279371852747,0,0.5900476635134064
2017-11-10Arkansas_St,0,1,0.5092733810404216,1,0.5795454545454546,0,0.5163064197527065,1,0.5,1,0.5113327397204295,1,0.7689164113052968
2017-11-10Austin_Peay,0,0,0.5111312625688614,1,0.6022727272727273,0,0.5285533187949887,1,0.5,1,0.5057786295716725,0,0.5591320951510172
2017-11-10Ball_State,0,0,0.5113290770085321,1,0.5227272727272727,0,0.5209181506078707,1,0.5,1,0.5233073484050811,1,0.5302045526226419
2017-11-10Belmont,1,1,0.5078275586389888,1,0.5909090909090909,0,0.5113141067199238,1,0.5,1,0.5053630530129962,1,0.6502481711581147
2017-11-10Bowling_Grn,0,1,0.5015487454064474,1,0.5113636363636364,0,0.5244769336681105,1,0.5,1,0.5137322032170916,1,0.766188415219244
2017-11-11Akron,0,0,0.5320527168123625,1,0.5113636363636364,0,0.5035595324491758,1,0.5,0,0.5149532600772793,0,0.5981482142490071
2017-11-11Bradley,0,1,0.5025312710882875,1,0.5681818181818182,0,0.514934568100363,1,0.5,1,0.5010578550395394,0,0.6947660065541353
2017-11-11Buffalo,0,0,0.505419518686153,1,0.5568181818181818,0,0.5047205010531766,1,0.5,1,0.522819240903667,1,0.5318531768571826
2017-11-12Air_Force,0,0,0.537990128806582,1,0.5568181818181818,0,0.5246640039427573,1,0.5,0,0.5097717699401203,0,0.6690611757080843
2017-11-12Ark_Pine_Bl,0,0,0.52328805942307,1,0.6136363636363636,0,0.5244844431413198,1,0.5,1,0.5026598024872618,1,0.6317326760822614
2017-11-12Boise_State,0,0,0.5234483673622703,1,0.5454545454545454,1,0.509076543961512,1,0.5,1,0.5001299076812975,0,0.778193854021358
2017-11-13Ark_Pine_Bl,1,0,0.5353022178941005,0,0.5113636363636364,0,0.531935434659512,0,0.5052882771918898,0,0.5271637130141744,1,0.6693276640131349
2017-11-13Austin_Peay,1,0,0.5122507947051801,1,0.5795454545454546,0,0.5341769622793673,1,0.5,1,0.504321906629077,1,0.5093186674962834
2017-11-13Belmont,0,0,0.5415000325293293,1,0.625,0,0.5177356979442465,0,0.5058551429017062,1,0.5053883737856285,0,0.7065708400357155
