idx
2017-11-10Alabama
2017-11-10Arkansas
2017-11-10Belmont
2017-11-10California
2017-11-10Central_FL
2017-11-10Colorado
2017-11-10Creighton
2017-11-10Dayton
2017-11-10Drexel
2017-11-10E_Kentucky
2017-11-10Evansville
2017-11-10Fordham
2017-11-10Indiana
2017-11-10Loyola-Chi
2017-11-10Marshall
2017-11-10Mississippi
2017-11-10Missouri
2017-11-10Montana_St
2017-11-10N_Kentucky
2017-11-10Navy
2017-11-10Nevada
2017-11-10Oakland
2017-11-10Old_Dominion
2017-11-10Richmond
2017-11-10S_Carolina
2017-11-10S_Dakota_St
2017-11-10S_Florida
2017-11-10San_Fransco
2017-11-10St_Bonavent
2017-11-10Syracuse
2017-11-10Troy
2017-11-10UCLA
2017-11-10W_Kentucky
2017-11-10W_Virginia
2017-11-10Wake_Forest
2017-11-10Weber_State
2017-11-10Wyoming
2017-11-11Akron
2017-11-11Bradley
2017-11-11Buffalo
2017-11-11Kent_State
2017-11-11La_Salle
2017-11-11Nebraska
2017-11-11Notre_Dame
2017-11-11Portland_St
2017-11-11Quinnipiac
2017-11-11St_Josephs
2017-11-11TX-Arlington
2017-11-11U_Penn
2017-11-11UCSB
2017-11-12Air_Force
2017-11-12Arkansas
2017-11-12Butler
2017-11-12California
2017-11-12Denver
2017-11-12Harvard
2017-11-12Hawaii
2017-11-12Kentucky
2017-11-12San_Diego
2017-11-12Washington
2017-11-12Wisconsin
2017-11-13Brown
2017-11-13Hawaii
2017-11-13IL-Chicago
2017-11-13Iowa_State
2017-11-13La_Salle
2017-11-13Middle_Tenn
2017-11-13N_Colorado
2017-11-13Nebraska
2017-11-13Nevada
2017-11-13North_Dakota
2017-11-13Oklahoma_St
2017-11-13Old_Dominion
2017-11-13Oregon_St
2017-11-13Pittsburgh
2017-11-13Providence
2017-11-13Richmond
2017-11-13S_Carolina
2017-11-13South_Dakota
2017-11-13Tulsa
2017-11-13UAB
2017-11-13Utah_State
2017-11-13Vanderbilt
2017-11-14Air_Force
2017-11-14Arizona_St
2017-11-14Bradley
2017-11-14Colorado
2017-11-14Davidson
