idx,line,raw_lightgbc_prediction,raw_lightgbc_confidence,raw_log_prediction,raw_log_confidence,+pts_linsvc_prediction,+pts_linsvc_confidence,+pts_lightgbc_prediction,+pts_lightgbc_confidence,+pts_knn_prediction,+pts_knn_confidence,+pts_log_prediction,+pts_log_confidence
2017-11-10Alabama,1,0,0.5100825673691423,0,0.5026116248011825,1,0.6084723971735496,1,0.520756887791608,0,0.5303030303030303,1,0.5360210707667149
2017-11-10Arizona,0,0,0.5089597121021111,0,0.5091666699556472,1,0.5860692549269637,1,0.5532053395384043,0,0.5252525252525253,0,0.5295957667224758
2017-11-10Ark_Pine_Bl,1,0,0.5169944505916721,1,0.5240374719778803,1,0.6006306045432862,1,0.5410174517990308,1,0.5353535353535354,1,0.6517932106763695
2017-11-10Arkansas,1,0,0.5082599769896092,0,0.5202148262202511,1,0.5717104609780005,1,0.5471500689479166,1,0.5151515151515151,0,0.6305247815474071
2017-11-10Arkansas_St,0,0,0.5131306383767584,1,0.5068569021240747,1,0.6076138884719607,1,0.5408664657121476,0,0.5151515151515151,1,0.5553891539335725
2017-11-10Austin_Peay,1,0,0.5127322595262092,0,0.516812760133603,1,0.5858474631871841,1,0.5646554874771226,0,0.51010101010101,0,0.6287910225357853
2017-11-10Ball_State,1,0,0.5081843774957482,0,0.5021800774386715,1,0.6067049129317694,0,0.512625412627286,0,0.5303030303030303,1,0.52710145600502
2017-11-10Belmont,0,0,0.5150023357106788,1,0.5029429559410216,1,0.5988104246856994,1,0.5204404255322196,1,0.5505050505050505,1,0.5400486824631097
2017-11-10Bowling_Grn,1,0,0.5173559461525568,1,0.519392530528649,1,0.6146283750103427,0,0.5554694365637813,0,0.5151515151515151,1,0.6550879771029852
2017-11-11Akron,1,0,0.5106284785985467,1,0.5094082865275357,1,0.6073772305766397,1,0.5507647028015207,0,0.6111111111111112,1,0.5290505807919967
2017-11-11Bradley,1,0,0.5105920821260523,0,0.5113235993117697,1,0.6109936661061279,1,0.5777036541160487,1,0.51010101010101,0,0.5263976881650365
2017-11-11Buffalo,0,0,0.5079109260479535,0,0.5082374792746835,1,0.5906281209817957,0,0.5026201894622262,0,0.5252525252525253,0,0.5256186692215088
2017-11-12Air_Force,1,0,0.5154611885140384,1,0.5139027531082726,1,0.6179649990747462,1,0.5511634835626399,1,0.5252525252525253,1,0.5338128167644316
2017-11-12Arizona,0,1,0.5002471903444462,0,0.5035112616757642,1,0.5661303533716746,1,0.5147598681273752,1,0.5555555555555556,0,0.521304498863813
2017-11-12Ark_Pine_Bl,0,0,0.5168919401426911,1,0.5048014221868016,1,0.6001231732716095,1,0.5375666405605733,1,0.5454545454545454,0,0.5014132945315233
2017-11-12Arkansas,1,1,0.505962965441934,0,0.5215409167704091,1,0.5761708649296444,1,0.5271405616081293,1,0.5353535353535354,0,0.650923992158384
2017-11-12Boise_State,0,0,0.5104504505252998,1,0.5140258159682959,1,0.5899244605095484,0,0.5239153954836074,1,0.5454545454545454,1,0.5285228367103632
2017-11-12Bucknell,0,0,0.5164831862191628,0,0.5215181588315928,1,0.5846755012148087,1,0.5068359362959669,0,0.6060606060606061,0,0.5676965334034703
2017-11-13Ark_Pine_Bl,1,0,0.5171193135939733,1,0.5213107748070953,1,0.6449726459930814,0,0.5448685188761555,1,0.5757575757575758,1,0.6202692829820412
