idx,winner,raw_linsvc_prediction,raw_linsvc_confidence,raw_lightgbc_prediction,raw_lightgbc_confidence,raw_knn_prediction,raw_knn_confidence,raw_log_prediction,raw_log_confidence,+pts_log_prediction,+pts_log_confidence
2017-11-10Alabama,1,1,0.646958001017952,1,0.6166460813966747,1,0.5903614457831325,1,0.7100042161593202,1,0.9999749332415592
2017-11-10Arizona,1,1,0.542582074248482,1,0.5866426094364988,1,0.536144578313253,0,0.5554123936255223,1,0.997201034911548
2017-11-10Arizona_St,1,0,0.5602409685730236,1,0.506904573320148,0,0.6024096385542169,1,0.5782897643002533,1,0.9983798297750921
2017-11-10Ark_Pine_Bl,0,0,0.756634364381172,1,0.58578417533822,0,0.7108433734939759,0,0.7885698217334397,1,0.9999976727256416
2017-11-10Arkansas,1,0,0.5103523657897457,1,0.5292121351370969,1,0.5180722891566265,0,0.6243412377772901,1,0.9826293206385756
2017-11-10Arkansas_St,0,1,0.5793958990283066,1,0.5207945211636652,1,0.6204819277108434,0,0.6437723651652287,1,0.9995232871699572
2017-11-10Austin_Peay,0,0,0.6284038504638976,1,0.599977648978067,0,0.6265060240963856,0,0.9151718850115623,1,0.9941029607711984
2017-11-10Ball_State,0,0,0.5490092047889005,0,0.5047094056573926,1,0.5421686746987951,0,0.8240291110481973,1,0.9203365738726395
2017-11-10Belmont,0,1,0.7094092280261272,1,0.679317072592369,1,0.5843373493975904,1,0.5782947409143884,1,0.9998625673855911
2017-11-10Bowling_Grn,1,1,0.6144986913728124,0,0.521669432383127,1,0.6746987951807228,0,0.8954402269997978,1,0.9988161901565534
2017-11-11Akron,1,0,0.5146243983257583,1,0.6207100144355416,0,0.5180722891566265,1,0.766351463283031,1,0.9994135069081586
2017-11-11Bradley,1,0,0.5123409979780408,0,0.5368287415330827,1,0.5602409638554217,0,0.6661261497922846,1,0.9395165365394924
2017-11-11Buffalo,1,0,0.683249380445901,1,0.6236488631552931,0,0.6506024096385542,1,0.8004699704918268,1,0.9983688780876201
2017-11-12Air_Force,1,0,0.6918896891900872,0,0.5761237790823184,0,0.5662650602409639,0,0.6122309191791949,1,0.9889893105346428
2017-11-12Arizona,1,0,0.7755405189876702,1,0.5849009913717995,0,0.6626506024096386,0,0.7174703707510139,1,0.9999779953233185
2017-11-12Ark_Pine_Bl,0,0,0.6963928950951419,1,0.5787351742803903,0,0.6807228915662651,0,0.7801406605447387,1,0.9996244840886778
2017-11-12Arkansas,1,1,0.5322885483112897,0,0.5034892152233574,0,0.5481927710843374,0,0.543901361794917,0,0.9766847336401568
2017-11-12Boise_State,1,0,0.6151143450997623,0,0.53703542790034,0,0.7349397590361446,1,0.825262705331592,0,0.8557464254934393
2017-11-12Bucknell,0,0,0.5919766165755239,0,0.5247342379783102,0,0.536144578313253,0,0.7653969439631749,1,0.9892221825452032
2017-11-13Ark_Pine_Bl,0,0,0.6839234385511492,1,0.583791284608157,0,0.6506024096385542,0,0.7879837706817017,1,0.9923799334032465
2017-11-13Austin_Peay,0,0,0.5886475034880047,1,0.6095193171624774,0,0.572289156626506,0,0.9222624386603618,1,0.992019588866681
2017-11-13Belmont,1,0,0.6179927702858367,0,0.552071295891445,0,0.5421686746987951,1,0.6433754354379858,1,0.7359152674419894
2017-11-13Bowling_Grn,0,0,0.575338009232184,0,0.5455156044137555,0,0.5301204819277109,1,0.558700422104888,1,0.5997817975456049
2017-11-13Brown,1,0,0.5203660504250784,1,0.5025551808848533,1,0.5,0,0.8236846622079614,1,0.9919559774527593
2017-11-14AR_Lit_Rock,0,1,0.5265208045450119,1,0.5372346120737165,0,0.5060240963855421,1,0.6242295182792719,1,0.9999629668878014
2017-11-14Air_Force,1,0,0.7200525552003632,0,0.5574134352557609,0,0.6626506024096386,1,0.567267957417167,1,0.9704631093050068
2017-11-14Alabama,1,0,0.881860688958137,0,0.782861557150024,0,0.9096385542168675,1,0.8255161772584473,1,0.8591148557546112
2017-11-14Arizona_St,1,1,0.6028225422835715,1,0.6412621038567513,1,0.6204819277108434,0,0.6914253290166428,1,0.9123635967344131
2017-11-14Bradley,1,1,0.5072393423274743,1,0.5000455056616571,1,0.5301204819277109,0,0.7674338324671831,1,0.9961651254041995
2017-11-15Ball_State,0,1,0.5,1,0.546468669035227,1,0.5421686746987951,0,0.5649859027927366,1,0.5437197439752915
2017-11-15Buffalo,1,0,0.6656901335453894,1,0.5289476004437423,0,0.6506024096385542,1,0.6343996875172928,1,0.9997403608912439
2017-11-16App_State,0,0,0.7058324671105092,0,0.5956972031024689,0,0.7108433734939759,0,0.5801246458218836,1,0.9984115221700556
2017-11-16Arizona,1,0,0.6400209265869954,0,0.514554493080807,0,0.6204819277108434,1,0.5038267842782401,0,0.9944623881597214
2017-11-16Arkansas_St,0,1,0.5873634590941712,1,0.5567958636210838,1,0.5843373493975904,0,0.7064130198872575,1,0.9999870493010379
2017-11-16Auburn,1,0,0.736912970751623,0,0.5138253809260283,0,0.6506024096385542,0,0.7670622246110168,0,0.8244561488148153
2017-11-16Belmont,1,1,0.5913176871198746,1,0.6093456741240975,1,0.5,0,0.6349160852864453,1,0.9994019812346078
